batter_id,play_guid,spray_angle,release_time,end_time
681715,0f0f0e7c-777d-3224-a02f-fce0a3ca13ee,-34.8496817797556,2900,3700
595978,40746fc0-c806-3509-8cb2-2e97fbce4286,-22.18340897981068,2900,3700
672820,461481a8-dcc0-325d-b871-50d48ce091f4,-30.734801054820267,2867,3667
686668,b4827f6f-6f29-35b3-ba2a-7e143ae2cbef,-15.268796921756206,2900,3700
672386,6c7a5f56-b6b6-38ba-84e8-b90ced13e0c2,-15.115397518048155,2867,3667
514888,d6547b1f-8c56-3f7e-99ef-0bfc6a84e7a3,-27.080105869941676,2900,3700
805367,e0ee4e73-3f8e-34f8-87cf-2e19d4c89de9,-18.0955445569423,2867,3667
595879,acf2276c-1eba-360c-8804-3cd023d8ef5c,-28.933135335722156,2867,3667
694671,7ddb2a90-51b1-3329-ab5a-2d0a8dc35f5f,-15.622660466271526,2900,3700
681715,ea054218-928b-3318-9488-a75641bcd1f5,-40.66289601390946,2900,3700
593428,c833ab7a-1e27-3e42-a7e1-43c4a8661ede,-29.11159067719889,2867,3667
687263,14de6392-1d9f-3063-9619-cd3a7a5b2628,-40.42050312869236,2867,3667
663538,ab10f3dd-62b7-301b-bb97-73107ea22fd5,-19.09727112056713,2867,3667
671289,4c4df0ee-5d71-3c20-be7c-274bb510f0a6,-29.423147657934578,2867,3667
593428,8fdb6f6f-5c53-32fe-92a7-ae11714d271b,-20.97037505738747,2900,3700
701358,23d58846-586f-3888-921f-96f8e4aae329,-23.92944071181128,2867,3667
592450,6470738e-e39a-3dee-95ff-494f5403dd84,-24.345711948536177,2900,3700
642715,d57fc9f7-f7b9-3d26-ae5a-778b0ad69214,-34.548367056011315,2867,3667
691406,75f42283-ae1b-3b0e-b976-d84c1a0790d4,-29.86583088943692,2866,3666
543807,1f7d2530-0d03-3072-b904-e38290c06560,-25.810783121721855,2866,3666
575929,1be464c6-2547-3dee-8a65-caa167bb036a,-20.254528903675848,2900,3700
672580,b530749a-90a9-37f3-bde9-479cd45bea82,-18.988811286307254,2900,3700
502054,761b22c3-ce0a-3a28-b9b5-430ca5d4ca80,-24.43190392782043,2900,3700
676391,1111ff5e-4bb6-3b78-bc39-64d093f058d9,-15.299379992343603,2866,3666
663330,ed6cbc41-2d3e-3d92-a19c-51a6348a3172,-29.94141946266619,2900,3700
593428,0d20be8a-618f-3bcd-9404-965ad7c4483d,-18.43494882292201,2900,3700
680474,e9bdb8a1-6267-3866-9018-729a5b159a13,-31.06860645240458,2900,3700
668800,f6c1c501-86c0-3133-a7ee-15a472c38ef5,-33.698822993441155,2900,3700
700246,24d69899-9bc7-38e4-9d9b-c4b366aa63ce,-24.227184628054076,2866,3666
673237,d131bb20-e3db-305d-a6dd-72bf50708056,-16.713000423153176,2900,3700
677951,e234975c-7f88-3eed-b40a-8a6e263ea164,-21.87792815645666,2900,3700
518595,efbfe97c-5cd4-3296-8895-b854291f844b,-23.020718577003393,2900,3700
805367,d705712e-5e3d-301d-a389-15bcfec8b665,-33.939016836394615,2900,3700
700246,2b66b5a0-a6ba-35b3-adf2-85abde06d963,-22.503528499767427,2900,3700
691406,428ed8ad-18a0-30cf-865b-28059b6be6d8,-17.045554981724592,2900,3700
455117,d1ff0655-4fa9-35ea-b771-9c0dadff8168,-25.84272568335767,2900,3700
661388,c52ae044-58fb-3a24-a59d-9ae5a9c62b30,-35.04696311107922,2867,3667
608348,97394853-1223-3662-8e2a-bdf05b34a8d2,-25.862390041157553,2866,3666
661388,29ded709-4239-3688-8d43-29dbe42e6b1c,-30.930461415635804,2900,3700
683734,dfc557c3-2ca3-37c2-a4f4-83aed0e937b2,-16.486587100136404,2867,3667
650402,8bf9c0b6-f4b7-3c59-b7c6-eaf0b9929292,-23.80332758637317,2900,3700
668227,13026057-c96c-32e6-bdd9-a1be863e86a9,-31.462613417488114,2900,3700
643396,ea2108fb-d76f-364b-b68b-9dc944136161,-21.450944417383198,2866,3666
649966,3a3f4877-72c3-3423-9f0b-e2f8b6f9b7ab,-30.07292390451606,2866,3666
679845,56131b7d-a9ad-3f2a-8a5e-c8533aae73e7,-29.993981297242414,2900,3700
676391,9359b745-9b90-3231-b828-d5982b6782bb,-20.593485279281566,2867,3667
621020,8328e538-0cd3-322f-8569-e9142870a60f,-30.173520029644322,2899,3699
663697,251e7cb1-9d8e-3722-8f58-d3ae45ad9eac,-19.8363207187967,2900,3700
691723,6e80996c-80a8-3dcb-b3d4-8442e17017d2,-42.46554213100356,2899,3699
807712,f3707132-0ec4-3071-a676-a3ec38bdb6e9,-34.959893163423516,2900,3700
678554,174a5d41-3034-3c4c-aac1-81160aae99c4,-25.51092983599233,2867,3667
519317,bdfa8f7a-6252-35e9-8a9d-650b22b82e6f,-20.624757598150524,2900,3700
666176,144586d1-92fc-3be6-89ed-e924095e084e,-22.36183754185633,2867,3667
677594,4932e6be-0768-34a5-90c9-db3b405cbb43,-15.579946869633119,2900,3700
643376,e03a9cdb-d807-32e1-bd22-69501885ad7f,-21.604003212852135,2867,3667
661388,9236edbf-ee36-39c5-b1e6-4a608a06adfd,-29.019357661674505,2900,3700
679845,327d9fd5-5e49-3e69-8b86-a07dd96e9151,-33.470341139437835,2900,3700
553993,8223a734-0495-3713-93af-22f01e21f561,-36.29854147258243,2867,3667
650490,72b5324c-aeb4-38a0-aa81-778553053b3f,-15.697713728177192,2900,3700
805373,5a803e78-54c3-353c-b4c8-f608073bcdb3,-23.802380448814546,2900,3700
665161,3c28ad5c-699b-3180-8b42-f7245a9fa277,-35.55902311649683,2867,3667
545361,aa0e2f13-9615-3c38-b2f4-affd9cb476af,-22.395733889474002,2900,3700
680779,8fc858cc-3558-3d09-94ba-40a0fd0c211b,-26.534183381098927,2866,3666
676914,dc03dcf3-d31b-3b7a-81ec-561d95c76753,-27.351524595295842,2900,3700
686780,e2a2a895-d4c1-3253-bf70-f757d9be09c4,-21.63033412303838,2900,3700
650490,153aecdc-aba2-3188-b2a0-0f4a37eaf417,-22.133912559614117,2900,3700
700246,0df84322-81c5-3432-b84a-fedbe7b11338,-22.487073834326267,2866,3666
681715,40d34356-db16-3ee5-a289-179015b6707f,-21.72012091555827,2866,3666
681393,eef5d0d5-7ccc-3eda-b665-8af3219ce498,-20.005279000580202,2899,3699
521692,dd1dbb0e-2de6-36ca-a75d-225fa9b1a4c3,-44.19582089503746,2867,3667
543807,4552cc44-6b8a-356e-adfc-73cb61f3fe6a,-23.31060838781893,2866,3666
664056,972613a5-201d-32fa-845b-e0ae1c6e9304,-35.699265579497705,2866,3666
681624,5ae754bf-63d7-36aa-8f5b-97b2de0f1f1e,-15.42140201184597,2900,3700
502054,f9f94055-258e-3bc9-858d-90cc5fc4c47d,-16.597759807028922,2899,3699
596115,0731c706-6860-3518-bd49-68dd61ecaec2,-21.188655507849063,2866,3666
666969,fbead895-e847-3249-96a5-62c88621bd39,-27.51258691097388,2899,3699
677951,6564a2cc-344e-37db-83a0-e80378fa51f7,-26.236180822401494,2867,3667
