batter_id,play_guid,spray_angle,release_time,end_time
673548,7496e257-adf9-3728-b654-20bdaf467d06,-21.610981436239783,2900,3700
592450,8c709fc4-26dc-3ca1-b039-ed983b6f713c,-41.23790621811759,2899,3699
502054,c226d70f-a75b-31dd-8fb5-03b7e16589fd,-37.847572027740796,2900,3700
669397,8979390f-39d1-32dc-947e-c6ed0115e98a,-24.736557558156846,2900,3700
663698,6e75a23c-7b34-369a-8ef5-17606eb09ec9,-21.2389380476846,2867,3667
702332,7bccc069-9658-39d7-8130-26567eb0ff6c,-37.448048337511054,2900,3700
665877,8629c1ec-3029-3b0d-9281-0348c8631f02,-39.6007303625866,2900,3700
682622,b8a9e197-f1e1-338b-8519-c3d379fdbd44,-20.112430654430966,2867,3667
593428,716801ba-2e4d-3d84-ab37-aea25d7e69e3,-19.83579198048247,2867,3667
669394,b68e9ddf-3a24-42cf-9e7d-0375a5b046f4,-29.08158586280574,2866,3666
602104,716b7a47-659d-357c-bba1-75e2bfda7371,-24.951538747713542,2900,3700
514888,7af8a517-1c91-402e-a9d0-cf76b3330cae,-37.468732924338184,2866,3666
696100,77951ef9-23d0-4cbb-a514-87ae07c2ffec,-39.84527886476013,2900,3700
694192,bd22cd1e-9989-3723-8cc1-b078b427efbb,-36.05428002854306,2866,3666
677594,86c40f5b-fd90-3490-82dd-e1923b4678de,-21.274921364140766,2900,3700
701358,c611732b-3434-3794-bac1-0ae6ae5a41e4,-20.253008422664067,2900,3700
621020,924fb86d-1c7a-3029-b37d-3db812c1e7f6,-33.40814132822018,2900,3700
502054,c31f78bd-a660-3c0f-962c-c26cccd3d621,-27.557755096916253,2867,3667
606192,c8b5c225-ad39-3156-8e99-92361e3bc7b9,-22.40338663519981,2900,3700
683734,b6599de8-316f-3d31-ae11-63926770b505,-23.40484775586748,2900,3700
543807,7075f958-257a-3607-b6ec-adf5f054ed1a,-15.934241125049297,2866,3666
665966,bd1b8ab0-79df-3066-9775-64cf0304067f,-18.578713264248606,2867,3667
624585,ce85d89a-e626-3069-a915-b795d5c28077,-34.62066698113445,2900,3700
665489,ca4fdb8b-f73f-4f58-8625-086e706d3070,-27.787623997377494,2867,3667
672356,773fe4f0-4ead-314d-93ec-4cff5f1ed9b3,-32.76363452218129,2867,3667
693304,707d4776-bbab-4280-8fa2-afd3fa9e338b,-30.96906218809255,2867,3667
666176,725059f2-ba40-3215-a29e-3930b00e0578,-15.724645262349782,2867,3667
679529,b88f87f1-6fcd-3763-bc2c-66324254de24,-15.8203616643641,2900,3700
682663,cabbe326-a12e-382b-859b-70739d0535ac,-17.169745900686067,2900,3700
806146,bd0e5881-2272-4cc8-b98c-4d50311f8058,-30.431952388152297,2900,3700
650402,c67bba4a-1410-3350-aa0a-58bd07a4fc3a,-40.49789038112769,2867,3667
702332,d188379f-9948-4a79-b79b-d9cb23a5bf11,-24.083108788641525,2900,3700
691023,7d0d7dc1-877e-39e5-8caf-d8ba1b0ee64b,-35.14315038760844,2900,3700
643396,b73b4a87-6db0-3a2a-9fc5-da965f870448,-25.369547854560764,2900,3700
642215,c876123e-47f3-3f6d-a275-9515dc4dae10,-43.145122049834924,2900,3700
527038,cd6b27b4-920a-322a-9316-934b5b562757,-40.001687751595966,2900,3700
570482,ca0ec2a2-7a95-3e0f-a30a-f49c924987ff,-23.871391802148295,2867,3667
670623,6e762a1d-6b2a-3175-bdd1-a3a67204377c,-29.477182749698315,2900,3700
527038,ccf432ca-fbf4-3d66-9c30-a0222699b9ae,-33.38553701735722,2867,3667
680474,be553aa9-fb8d-33da-b5f3-6f4ee9e8f03b,-26.86156867789643,2900,3700
677942,c7cd862c-5a27-3e6f-aca7-9ed605664cdb,-33.34138559768533,2900,3700
